id,displayName,sortName,party,state,district,tenureStartDate,nextElectionDate,grade
43865,Rep. James “Jim” Langevin [D-RI2],"Langevin, James “Jim” (Rep.) [D-RI2]",Democrat,RI,2,1/3/2017,1/3/2019,
43807,Rep. Robert Aderholt [R-AL4],"Aderholt, Robert (Rep.) [R-AL4]",Republican,AL,4,1/3/2017,1/3/2019,
43808,Rep. Joe Barton [R-TX6],"Barton, Joe (Rep.) [R-TX6]",Republican,TX,6,1/3/2017,1/3/2019,
43810,Rep. Rob Bishop [R-UT1],"Bishop, Rob (Rep.) [R-UT1]",Republican,UT,1,1/3/2017,1/3/2019,
43811,Rep. Sanford Bishop [D-GA2],"Bishop, Sanford (Rep.) [D-GA2]",Democrat,GA,2,1/3/2017,1/3/2019,
43812,Rep. Marsha Blackburn [R-TN7],"Blackburn, Marsha (Rep.) [R-TN7]",Republican,TN,7,1/3/2017,1/3/2019,
43813,Rep. Earl Blumenauer [D-OR3],"Blumenauer, Earl (Rep.) [D-OR3]",Democrat,OR,3,1/3/2017,1/3/2019,
43816,Rep. Madeleine Bordallo [D-GU0],"Bordallo, Madeleine (Rep.) [D-GU0]",Democrat,GU,0,1/3/2017,1/3/2019,
43817,Rep. Kevin Brady [R-TX8],"Brady, Kevin (Rep.) [R-TX8]",Republican,TX,8,1/3/2017,1/3/2019,
43818,Rep. Robert Brady [D-PA1],"Brady, Robert (Rep.) [D-PA1]",Democrat,PA,1,1/3/2017,1/3/2019,
43819,Rep. Michael Burgess [R-TX26],"Burgess, Michael (Rep.) [R-TX26]",Republican,TX,26,1/3/2017,1/3/2019,
43821,Rep. Ken Calvert [R-CA42],"Calvert, Ken (Rep.) [R-CA42]",Republican,CA,42,1/3/2017,1/3/2019,
43822,Rep. Michael Capuano [D-MA7],"Capuano, Michael (Rep.) [D-MA7]",Democrat,MA,7,1/3/2017,1/3/2019,
43823,Rep. John Carter [R-TX31],"Carter, John (Rep.) [R-TX31]",Republican,TX,31,1/3/2017,1/3/2019,
43824,Rep. Steve Chabot [R-OH1],"Chabot, Steve (Rep.) [R-OH1]",Republican,OH,1,1/3/2017,1/3/2019,
43825,Rep. Lacy Clay [D-MO1],"Clay, Lacy (Rep.) [D-MO1]",Democrat,MO,1,1/3/2017,1/3/2019,
43826,Rep. James “Jim” Clyburn [D-SC6],"Clyburn, James “Jim” (Rep.) [D-SC6]",Democrat,SC,6,1/3/2017,1/3/2019,
43827,Rep. Tom Cole [R-OK4],"Cole, Tom (Rep.) [R-OK4]",Republican,OK,4,1/3/2017,1/3/2019,
43828,Rep. John Conyers [D-MI13],"Conyers, John (Rep.) [D-MI13]",Democrat,MI,13,1/3/2017,1/3/2019,
43829,Rep. Jim Cooper [D-TN5],"Cooper, Jim (Rep.) [D-TN5]",Democrat,TN,5,1/3/2017,1/3/2019,
43830,Rep. Joseph “Joe” Crowley [D-NY14],"Crowley, Joseph “Joe” (Rep.) [D-NY14]",Democrat,NY,14,1/3/2017,1/3/2019,
43831,Rep. John Culberson [R-TX7],"Culberson, John (Rep.) [R-TX7]",Republican,TX,7,1/3/2017,1/3/2019,
43832,Rep. Elijah Cummings [D-MD7],"Cummings, Elijah (Rep.) [D-MD7]",Democrat,MD,7,1/3/2017,1/3/2019,
43833,Rep. Danny Davis [D-IL7],"Davis, Danny (Rep.) [D-IL7]",Democrat,IL,7,1/3/2017,1/3/2019,
43834,Rep. Susan Davis [D-CA53],"Davis, Susan (Rep.) [D-CA53]",Democrat,CA,53,1/3/2017,1/3/2019,
43835,Rep. Peter DeFazio [D-OR4],"DeFazio, Peter (Rep.) [D-OR4]",Democrat,OR,4,1/3/2017,1/3/2019,
43836,Rep. Diana DeGette [D-CO1],"DeGette, Diana (Rep.) [D-CO1]",Democrat,CO,1,1/3/2017,1/3/2019,
43837,Rep. Rosa DeLauro [D-CT3],"DeLauro, Rosa (Rep.) [D-CT3]",Democrat,CT,3,1/3/2017,1/3/2019,
43838,Rep. Mario Diaz-Balart [R-FL25],"Diaz-Balart, Mario (Rep.) [R-FL25]",Republican,FL,25,1/3/2017,1/3/2019,
43839,Rep. Lloyd Doggett [D-TX35],"Doggett, Lloyd (Rep.) [D-TX35]",Democrat,TX,35,1/3/2017,1/3/2019,
43840,Rep. Michael “Mike” Doyle [D-PA14],"Doyle, Michael “Mike” (Rep.) [D-PA14]",Democrat,PA,14,1/3/2017,1/3/2019,
43841,Rep. John “Jimmy” Duncan [R-TN2],"Duncan, John “Jimmy” (Rep.) [R-TN2]",Republican,TN,2,1/3/2017,1/3/2019,
43842,Rep. Eliot Engel [D-NY16],"Engel, Eliot (Rep.) [D-NY16]",Democrat,NY,16,1/3/2017,1/3/2019,
43843,Rep. Anna Eshoo [D-CA18],"Eshoo, Anna (Rep.) [D-CA18]",Democrat,CA,18,1/3/2017,1/3/2019,
43844,Rep. Trent Franks [R-AZ8],"Franks, Trent (Rep.) [R-AZ8]",Republican,AZ,8,1/3/2017,1/3/2019,
43845,Rep. Rodney Frelinghuysen [R-NJ11],"Frelinghuysen, Rodney (Rep.) [R-NJ11]",Republican,NJ,11,1/3/2017,1/3/2019,
43846,Rep. Bob Goodlatte [R-VA6],"Goodlatte, Bob (Rep.) [R-VA6]",Republican,VA,6,1/3/2017,1/3/2019,
43847,Rep. Kay Granger [R-TX12],"Granger, Kay (Rep.) [R-TX12]",Republican,TX,12,1/3/2017,1/3/2019,
43848,Rep. Sam Graves [R-MO6],"Graves, Sam (Rep.) [R-MO6]",Republican,MO,6,1/3/2017,1/3/2019,
43849,Rep. Gene Green [D-TX29],"Green, Gene (Rep.) [D-TX29]",Democrat,TX,29,1/3/2017,1/3/2019,
43850,Rep. Raúl Grijalva [D-AZ3],"Grijalva, Raúl (Rep.) [D-AZ3]",Democrat,AZ,3,1/3/2017,1/3/2019,
43851,Rep. Luis Gutiérrez [D-IL4],"Gutiérrez, Luis (Rep.) [D-IL4]",Democrat,IL,4,1/3/2017,1/3/2019,
43852,Rep. Alcee Hastings [D-FL20],"Hastings, Alcee (Rep.) [D-FL20]",Democrat,FL,20,1/3/2017,1/3/2019,
43853,Rep. Jeb Hensarling [R-TX5],"Hensarling, Jeb (Rep.) [R-TX5]",Republican,TX,5,1/3/2017,1/3/2019,
43854,Rep. Steny Hoyer [D-MD5],"Hoyer, Steny (Rep.) [D-MD5]",Democrat,MD,5,1/3/2017,1/3/2019,
43856,Rep. Darrell Issa [R-CA49],"Issa, Darrell (Rep.) [R-CA49]",Republican,CA,49,1/3/2017,1/3/2019,
43857,Rep. Sheila Jackson Lee [D-TX18],"Jackson Lee, Sheila (Rep.) [D-TX18]",Democrat,TX,18,1/3/2017,1/3/2019,
43858,Rep. Eddie Johnson [D-TX30],"Johnson, Eddie (Rep.) [D-TX30]",Democrat,TX,30,1/3/2017,1/3/2019,
43859,Rep. Sam Johnson [R-TX3],"Johnson, Sam (Rep.) [R-TX3]",Republican,TX,3,1/3/2017,1/3/2019,
43860,Rep. Walter Jones [R-NC3],"Jones, Walter (Rep.) [R-NC3]",Republican,NC,3,1/3/2017,1/3/2019,
43861,Rep. Marcy Kaptur [D-OH9],"Kaptur, Marcy (Rep.) [D-OH9]",Democrat,OH,9,1/3/2017,1/3/2019,
43862,Rep. Ron Kind [D-WI3],"Kind, Ron (Rep.) [D-WI3]",Democrat,WI,3,1/3/2017,1/3/2019,
43863,Rep. Peter “Pete” King [R-NY2],"King, Peter “Pete” (Rep.) [R-NY2]",Republican,NY,2,1/3/2017,1/3/2019,
43864,Rep. Steve King [R-IA4],"King, Steve (Rep.) [R-IA4]",Republican,IA,4,1/3/2017,1/3/2019,
43866,Rep. Rick Larsen [D-WA2],"Larsen, Rick (Rep.) [D-WA2]",Democrat,WA,2,1/3/2017,1/3/2019,
43867,Rep. John Larson [D-CT1],"Larson, John (Rep.) [D-CT1]",Democrat,CT,1,1/3/2017,1/3/2019,
43868,Rep. Barbara Lee [D-CA13],"Lee, Barbara (Rep.) [D-CA13]",Democrat,CA,13,1/3/2017,1/3/2019,
43869,Rep. Sander Levin [D-MI9],"Levin, Sander (Rep.) [D-MI9]",Democrat,MI,9,1/3/2017,1/3/2019,
43870,Rep. John Lewis [D-GA5],"Lewis, John (Rep.) [D-GA5]",Democrat,GA,5,1/3/2017,1/3/2019,
43871,Rep. Frank LoBiondo [R-NJ2],"LoBiondo, Frank (Rep.) [R-NJ2]",Republican,NJ,2,1/3/2017,1/3/2019,
43872,Rep. Zoe Lofgren [D-CA19],"Lofgren, Zoe (Rep.) [D-CA19]",Democrat,CA,19,1/3/2017,1/3/2019,
43873,Rep. Nita Lowey [D-NY17],"Lowey, Nita (Rep.) [D-NY17]",Democrat,NY,17,1/3/2017,1/3/2019,
43874,Rep. Frank Lucas [R-OK3],"Lucas, Frank (Rep.) [R-OK3]",Republican,OK,3,1/3/2017,1/3/2019,
43875,Rep. Stephen Lynch [D-MA8],"Lynch, Stephen (Rep.) [D-MA8]",Democrat,MA,8,1/3/2017,1/3/2019,
43876,Rep. Carolyn Maloney [D-NY12],"Maloney, Carolyn (Rep.) [D-NY12]",Democrat,NY,12,1/3/2017,1/3/2019,
43877,Rep. Betty McCollum [D-MN4],"McCollum, Betty (Rep.) [D-MN4]",Democrat,MN,4,1/3/2017,1/3/2019,
43878,Rep. James “Jim” McGovern [D-MA2],"McGovern, James “Jim” (Rep.) [D-MA2]",Democrat,MA,2,1/3/2017,1/3/2019,
43879,Rep. Gregory Meeks [D-NY5],"Meeks, Gregory (Rep.) [D-NY5]",Democrat,NY,5,1/3/2017,1/3/2019,
43881,Rep. Tim Murphy [R-PA18],"Murphy, Tim (Rep.) [R-PA18]",Republican,PA,18,1/3/2017,1/3/2019,
43882,Rep. Jerrold Nadler [D-NY10],"Nadler, Jerrold (Rep.) [D-NY10]",Democrat,NY,10,1/3/2017,1/3/2019,
43883,Rep. Grace Napolitano [D-CA32],"Napolitano, Grace (Rep.) [D-CA32]",Democrat,CA,32,1/3/2017,1/3/2019,
43884,Rep. Richard Neal [D-MA1],"Neal, Richard (Rep.) [D-MA1]",Democrat,MA,1,1/3/2017,1/3/2019,
43885,Rep. Eleanor Norton [D-DC0],"Norton, Eleanor (Rep.) [D-DC0]",Democrat,DC,0,1/3/2017,1/3/2019,
43886,Rep. Devin Nunes [R-CA22],"Nunes, Devin (Rep.) [R-CA22]",Republican,CA,22,1/3/2017,1/3/2019,
43887,Rep. Frank Pallone [D-NJ6],"Pallone, Frank (Rep.) [D-NJ6]",Democrat,NJ,6,1/3/2017,1/3/2019,
43888,Rep. Bill Pascrell [D-NJ9],"Pascrell, Bill (Rep.) [D-NJ9]",Democrat,NJ,9,1/3/2017,1/3/2019,
43889,Rep. Stevan “Steve” Pearce [R-NM2],"Pearce, Stevan “Steve” (Rep.) [R-NM2]",Republican,NM,2,1/3/2017,1/3/2019,
43890,Rep. Nancy Pelosi [D-CA12],"Pelosi, Nancy (Rep.) [D-CA12]",Democrat,CA,12,1/3/2017,1/3/2019,
43891,Rep. Collin Peterson [D-MN7],"Peterson, Collin (Rep.) [D-MN7]",Democrat,MN,7,1/3/2017,1/3/2019,
43893,Rep. David Price [D-NC4],"Price, David (Rep.) [D-NC4]",Democrat,NC,4,1/3/2017,1/3/2019,
43894,Rep. Harold “Hal” Rogers [R-KY5],"Rogers, Harold “Hal” (Rep.) [R-KY5]",Republican,KY,5,1/3/2017,1/3/2019,
43895,Rep. Mike Rogers [R-AL3],"Rogers, Mike (Rep.) [R-AL3]",Republican,AL,3,1/3/2017,1/3/2019,
43896,Rep. Dana Rohrabacher [R-CA48],"Rohrabacher, Dana (Rep.) [R-CA48]",Republican,CA,48,1/3/2017,1/3/2019,
43897,Rep. Ileana Ros-Lehtinen [R-FL27],"Ros-Lehtinen, Ileana (Rep.) [R-FL27]",Republican,FL,27,1/3/2017,1/3/2019,
43898,Rep. Lucille Roybal-Allard [D-CA40],"Roybal-Allard, Lucille (Rep.) [D-CA40]",Democrat,CA,40,1/3/2017,1/3/2019,
43899,Rep. Edward “Ed” Royce [R-CA39],"Royce, Edward “Ed” (Rep.) [R-CA39]",Republican,CA,39,1/3/2017,1/3/2019,
43900,Rep. A. Dutch Ruppersberger [D-MD2],"Ruppersberger, A. Dutch (Rep.) [D-MD2]",Democrat,MD,2,1/3/2017,1/3/2019,
43901,Rep. Bobby Rush [D-IL1],"Rush, Bobby (Rep.) [D-IL1]",Democrat,IL,1,1/3/2017,1/3/2019,
43902,Rep. Paul Ryan [R-WI1],"Ryan, Paul (Rep.) [R-WI1]",Republican,WI,1,1/3/2017,1/3/2019,
43903,Rep. Tim Ryan [D-OH13],"Ryan, Tim (Rep.) [D-OH13]",Democrat,OH,13,1/3/2017,1/3/2019,
43904,Rep. Linda Sánchez [D-CA38],"Sánchez, Linda (Rep.) [D-CA38]",Democrat,CA,38,1/3/2017,1/3/2019,
43905,Rep. Janice “Jan” Schakowsky [D-IL9],"Schakowsky, Janice “Jan” (Rep.) [D-IL9]",Democrat,IL,9,1/3/2017,1/3/2019,
43906,Rep. Adam Schiff [D-CA28],"Schiff, Adam (Rep.) [D-CA28]",Democrat,CA,28,1/3/2017,1/3/2019,
43907,Rep. David Scott [D-GA13],"Scott, David (Rep.) [D-GA13]",Democrat,GA,13,1/3/2017,1/3/2019,
43908,Rep. Robert “Bobby” Scott [D-VA3],"Scott, Robert “Bobby” (Rep.) [D-VA3]",Democrat,VA,3,1/3/2017,1/3/2019,
43909,Rep. James Sensenbrenner [R-WI5],"Sensenbrenner, James (Rep.) [R-WI5]",Republican,WI,5,1/3/2017,1/3/2019,
43910,Rep. José Serrano [D-NY15],"Serrano, José (Rep.) [D-NY15]",Democrat,NY,15,1/3/2017,1/3/2019,
43911,Rep. Pete Sessions [R-TX32],"Sessions, Pete (Rep.) [R-TX32]",Republican,TX,32,1/3/2017,1/3/2019,
43912,Rep. Brad Sherman [D-CA30],"Sherman, Brad (Rep.) [D-CA30]",Democrat,CA,30,1/3/2017,1/3/2019,
43913,Rep. John Shimkus [R-IL15],"Shimkus, John (Rep.) [R-IL15]",Republican,IL,15,1/3/2017,1/3/2019,
43914,Rep. Michael “Mike” Simpson [R-ID2],"Simpson, Michael “Mike” (Rep.) [R-ID2]",Republican,ID,2,1/3/2017,1/3/2019,
43915,Rep. Louise Slaughter [D-NY25],"Slaughter, Louise (Rep.) [D-NY25]",Democrat,NY,25,1/3/2017,1/3/2019,
43916,Rep. Adam Smith [D-WA9],"Smith, Adam (Rep.) [D-WA9]",Democrat,WA,9,1/3/2017,1/3/2019,
43917,Rep. Christopher “Chris” Smith [R-NJ4],"Smith, Christopher “Chris” (Rep.) [R-NJ4]",Republican,NJ,4,1/3/2017,1/3/2019,
43918,Rep. Lamar Smith [R-TX21],"Smith, Lamar (Rep.) [R-TX21]",Republican,TX,21,1/3/2017,1/3/2019,
43919,Rep. Bennie Thompson [D-MS2],"Thompson, Bennie (Rep.) [D-MS2]",Democrat,MS,2,1/3/2017,1/3/2019,
43920,Rep. Mike Thompson [D-CA5],"Thompson, Mike (Rep.) [D-CA5]",Democrat,CA,5,1/3/2017,1/3/2019,
43921,Rep. Mac Thornberry [R-TX13],"Thornberry, Mac (Rep.) [R-TX13]",Republican,TX,13,1/3/2017,1/3/2019,
43922,Rep. Patrick “Pat” Tiberi [R-OH12],"Tiberi, Patrick “Pat” (Rep.) [R-OH12]",Republican,OH,12,1/3/2017,1/3/2019,
43924,Rep. Michael Turner [R-OH10],"Turner, Michael (Rep.) [R-OH10]",Republican,OH,10,1/3/2017,1/3/2019,
43925,Rep. Fred Upton [R-MI6],"Upton, Fred (Rep.) [R-MI6]",Republican,MI,6,1/3/2017,1/3/2019,
43927,Rep. Nydia Velázquez [D-NY7],"Velázquez, Nydia (Rep.) [D-NY7]",Democrat,NY,7,1/3/2017,1/3/2019,
43928,Rep. Peter Visclosky [D-IN1],"Visclosky, Peter (Rep.) [D-IN1]",Democrat,IN,1,1/3/2017,1/3/2019,
43929,Rep. Greg Walden [R-OR2],"Walden, Greg (Rep.) [R-OR2]",Republican,OR,2,1/3/2017,1/3/2019,
43930,Rep. Maxine Waters [D-CA43],"Waters, Maxine (Rep.) [D-CA43]",Democrat,CA,43,1/3/2017,1/3/2019,
43931,Rep. Joe Wilson [R-SC2],"Wilson, Joe (Rep.) [R-SC2]",Republican,SC,2,1/3/2017,1/3/2019,
43932,Rep. Don Young [R-AK0],"Young, Don (Rep.) [R-AK0]",Republican,AK,0,1/3/2017,1/3/2019,
43934,Rep. Marshall “Mark” Sanford [R-SC1],"Sanford, Marshall “Mark” (Rep.) [R-SC1]",Republican,SC,1,1/3/2017,1/3/2019,
43935,Rep. George “G.K.” Butterfield [D-NC1],"Butterfield, George “G.K.” (Rep.) [D-NC1]",Democrat,NC,1,1/3/2017,1/3/2019,
43936,Rep. Jim Costa [D-CA16],"Costa, Jim (Rep.) [D-CA16]",Democrat,CA,16,1/3/2017,1/3/2019,
43937,Rep. Debbie Wasserman Schultz [D-FL23],"Wasserman Schultz, Debbie (Rep.) [D-FL23]",Democrat,FL,23,1/3/2017,1/3/2019,
43939,Rep. Daniel Lipinski [D-IL3],"Lipinski, Daniel (Rep.) [D-IL3]",Democrat,IL,3,1/3/2017,1/3/2019,
43940,Rep. Emanuel Cleaver [D-MO5],"Cleaver, Emanuel (Rep.) [D-MO5]",Democrat,MO,5,1/3/2017,1/3/2019,
43941,Rep. Jeff Fortenberry [R-NE1],"Fortenberry, Jeff (Rep.) [R-NE1]",Republican,NE,1,1/3/2017,1/3/2019,
43942,Rep. Brian Higgins [D-NY26],"Higgins, Brian (Rep.) [D-NY26]",Democrat,NY,26,1/3/2017,1/3/2019,
43943,Rep. Virginia Foxx [R-NC5],"Foxx, Virginia (Rep.) [R-NC5]",Republican,NC,5,1/3/2017,1/3/2019,
43944,Rep. Patrick McHenry [R-NC10],"McHenry, Patrick (Rep.) [R-NC10]",Republican,NC,10,1/3/2017,1/3/2019,
43945,Rep. Charles Dent [R-PA15],"Dent, Charles (Rep.) [R-PA15]",Republican,PA,15,1/3/2017,1/3/2019,
43946,Rep. Louie Gohmert [R-TX1],"Gohmert, Louie (Rep.) [R-TX1]",Republican,TX,1,1/3/2017,1/3/2019,
43947,Rep. Ted Poe [R-TX2],"Poe, Ted (Rep.) [R-TX2]",Republican,TX,2,1/3/2017,1/3/2019,
43948,Rep. Al Green [D-TX9],"Green, Al (Rep.) [D-TX9]",Democrat,TX,9,1/3/2017,1/3/2019,
43949,Rep. Michael McCaul [R-TX10],"McCaul, Michael (Rep.) [R-TX10]",Republican,TX,10,1/3/2017,1/3/2019,
43950,Rep. Michael Conaway [R-TX11],"Conaway, Michael (Rep.) [R-TX11]",Republican,TX,11,1/3/2017,1/3/2019,
43951,Rep. Kenny Marchant [R-TX24],"Marchant, Kenny (Rep.) [R-TX24]",Republican,TX,24,1/3/2017,1/3/2019,
43952,Rep. Henry Cuellar [D-TX28],"Cuellar, Henry (Rep.) [D-TX28]",Democrat,TX,28,1/3/2017,1/3/2019,
43953,Rep. Cathy McMorris Rodgers [R-WA5],"McMorris Rodgers, Cathy (Rep.) [R-WA5]",Republican,WA,5,1/3/2017,1/3/2019,
43954,Rep. David Reichert [R-WA8],"Reichert, David (Rep.) [R-WA8]",Republican,WA,8,1/3/2017,1/3/2019,
43955,Rep. Gwen Moore [D-WI4],"Moore, Gwen (Rep.) [D-WI4]",Democrat,WI,4,1/3/2017,1/3/2019,
43956,Rep. Doris Matsui [D-CA6],"Matsui, Doris (Rep.) [D-CA6]",Democrat,CA,6,1/3/2017,1/3/2019,
43957,Rep. Richard Nolan [D-MN8],"Nolan, Richard (Rep.) [D-MN8]",Democrat,MN,8,1/3/2017,1/3/2019,
43958,Rep. Bill Shuster [R-PA9],"Shuster, Bill (Rep.) [R-PA9]",Republican,PA,9,1/3/2017,1/3/2019,
43959,Rep. Albio Sires [D-NJ8],"Sires, Albio (Rep.) [D-NJ8]",Democrat,NJ,8,1/3/2017,1/3/2019,
43960,Rep. Jerry McNerney [D-CA9],"McNerney, Jerry (Rep.) [D-CA9]",Democrat,CA,9,1/3/2017,1/3/2019,
